id,departement-nom,titulaire-profession,titulaire-soutien,date,titulaire-soutien-harmo
EL009_L_1958_11_031_05_1_PF_01,Haute-Garonne,riveur Sud-Aviation,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_031_05_1_PF_02,Haute-Garonne,agriculteur exploitant,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_031_05_1_PF_03,Haute-Garonne,non mentionné,Centre républicain,23/11/1958,Centre républicain
EL009_L_1958_11_031_05_1_PF_04,Haute-Garonne,non mentionné,Parti républicain radical et radical-socialiste,23/11/1958,Parti radical / radical-socialiste
EL009_L_1958_11_031_05_1_PF_05,Haute-Garonne,agriculteur,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_031_06_1_PF_01,Haute-Garonne,non mentionné,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_031_06_1_PF_02,Haute-Garonne,non mentionné,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_031_06_1_PF_03,Haute-Garonne,dessinateur,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_031_06_1_PF_04,Haute-Garonne,non mentionné,Républicain radical-socialiste,23/11/1958,Parti radical / radical-socialiste
EL009_L_1958_11_031_06_1_PF_05,Haute-Garonne,agent commercial,Mouvement Poujade,23/11/1958,Divers historiques / protestataires
EL009_L_1958_11_031_06_1_PF_06,Haute-Garonne,exploitant forestier,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_033_01_1_PF_01,Gironde,commandant,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_033_01_1_PF_02,Gironde,directeur Organisation d'aide économique et sociale Ministère des Affaires économiques,Centre national des indépendants,23/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_033_01_1_PF_03,Gironde,industriel,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_033_01_1_PF_04,Gironde,avocat Cour d'Appel,Démocratie chrétienne de France,23/11/1958,Démocratie chrétienne
EL009_L_1958_11_033_01_1_PF_05,Gironde,négociant importateur,Union et action libérale et sociale,23/11/1958,Libéraux / indépendants
EL009_L_1958_11_033_01_1_PF_06,Gironde,docteur,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_033_01_1_PF_07,Gironde,électricien,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_01_1_PF_08,Gironde,chef de division Caisse d'épargne,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_033_01_1_PF_09,Gironde,commerçant,Union des jeunes combattants des résistants des patriotes,23/11/1958,Gauche autogestionnaire / résistante
EL009_L_1958_11_033_10_1_PF_01,Gironde,exploitant agricole,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_10_1_PF_02,Gironde,propriétaire viticulteur,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_033_10_1_PF_03,Gironde,travaille pour gagner sa vie,Jeunesses indépendantes et paysannes,23/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_033_10_1_PF_04,Gironde,propriétaire viticulteur,Union pour la nouvelle République,23/11/1958,UNR
