id,departement-nom,titulaire-profession,titulaire-soutien,date,titulaire-soutien-harmo
EL028_L_1962_11_031_03_2_PF_01,Haute-Garonne,employé,Parti communiste français,25/11/1962,Parti communiste français
EL028_L_1962_11_031_04_2_PF_01,Haute-Garonne,juge doyen Haute Cour,Parti socialiste Section française de l'Internationale ouvrière,25/11/1962,SFIO
EL028_L_1962_11_031_05_2_PF_01,Haute-Garonne,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,25/11/1962,SFIO
EL028_L_1962_11_031_05_2_PF_02,Haute-Garonne,non mentionné,Entente démocratique,25/11/1962,Divers centre
EL028_L_1962_11_031_06_2_PF_01,Haute-Garonne,ingénieur Arts et Métiers,Parti socialiste Section française de l'Internationale ouvrière,25/11/1962,SFIO
EL028_L_1962_11_031_06_2_PF_02,Haute-Garonne,non mentionné,Mouvement républicain populaire,25/11/1962,Mouvement républicain populaire
EL028_L_1962_11_031_06_2_PF_03,Haute-Garonne,non mentionné,radical-socialiste,25/11/1962,Parti radical / radical-socialiste
EL028_L_1962_11_033_01_2_PF_01,Gironde,chef de division Caisse d'épargne,Parti socialiste Section française de l'Internationale ouvrière,25/11/1962,SFIO
EL028_L_1962_11_033_01_2_PF_02,Gironde,non mentionné,Centre national des indépendants et paysans,25/11/1962,CNIP / Indépendants et paysans
EL028_L_1962_11_033_10_2_PF_01,Gironde,propriétaire,Centre national des indépendants et paysans,25/11/1962,CNIP / Indépendants et paysans
EL028_L_1962_11_033_03_2_PF_01,Gironde,professeur enseignement général cours professionnels lycée technique,Parti socialiste,25/11/1962,Parti socialiste
EL028_L_1962_11_033_04_2_PF_01,Gironde,non mentionné,non mentionné,25/11/1962,Non mentionné
EL028_L_1962_11_033_05_2_PF_01,Gironde,propriétaire exploitant,Républicain indépendant,25/11/1962,Républicains indépendants
EL028_L_1962_11_033_06_2_PF_01,Gironde,non mentionné,non mentionné,25/11/1962,Non mentionné
EL028_L_1962_11_033_07_2_PF_01,Gironde,non mentionné,Centre national des indépendants et paysans,25/11/1962,CNIP / Indépendants et paysans
EL028_L_1962_11_033_08_2_PF_01,Gironde,non mentionné,Parti républicain des indépendants et paysans,25/11/1962,CNIP / Indépendants et paysans
EL028_L_1962_11_033_08_2_PF_02,Gironde,viticulteur,Parti communiste français,25/11/1962,Parti communiste français
EL028_L_1962_11_033_09_2_PF_01,Gironde,propriétaire viticulteur,Parti socialiste Section française de l'Internationale ouvrière,25/11/1962,SFIO
EL029_L_1962_11_075_01_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_01_2_PF_02,Seine,maître des requêtes Conseil d'Etat,non mentionné,25/11/1962,Non mentionné
EL029_L_1962_11_075_10_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_11_2_PF_01,Seine,non mentionné,indépendant,25/11/1962,Indépendant
EL029_L_1962_11_075_11_2_PF_02,Seine,écrivain,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_13_2_PF_01,Seine,professeur agrégé Facultés de Droit,Union progressiste,25/11/1962,Gauche autogestionnaire / résistante
EL029_L_1962_11_075_14_2_PF_01,Seine,instituteur,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_15_2_PF_01,Seine,non mentionné,non mentionné,25/11/1962,Non mentionné
EL029_L_1962_11_075_15_2_PF_02,Seine,tourneur,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_17_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_18_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_18_2_PF_02,Seine,non mentionné,non mentionné,25/11/1962,Non mentionné
EL029_L_1962_11_075_19_2_PF_01,Seine,ajusteur,Parti socialiste Section française de l'Internationale ouvrière,25/11/1962,SFIO
EL029_L_1962_11_075_02_2_PF_01,Seine,employé,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_02_2_PF_02,Seine,non mentionné,non mentionné,25/11/1962,Non mentionné
EL029_L_1962_11_075_20_2_PF_01,Seine,non mentionné,Centre national des indépendants,25/11/1962,CNIP / Indépendants et paysans
EL029_L_1962_11_075_20_2_PF_02,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_21_2_PF_01,Seine,avocat Cour,Centre national des indépendants et paysans,25/11/1962,CNIP / Indépendants et paysans
EL029_L_1962_11_075_21_2_PF_02,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_22_2_PF_01,Seine,non mentionné,Centre national des indépendants,25/11/1962,CNIP / Indépendants et paysans
EL029_L_1962_11_075_22_2_PF_02,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_23_2_PF_01,Seine,avocat Cour,Centre national des indépendants,25/11/1962,CNIP / Indépendants et paysans
EL029_L_1962_11_075_23_2_PF_02,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_24_2_PF_01,Seine,cheminot,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_25_2_PF_01,Seine,non mentionné,Rassemblement démocratique,25/11/1962,Divers droite républicaine
EL029_L_1962_11_075_25_2_PF_02,Seine,employé services publics,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_27_2_PF_01,Seine,ingénieur,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_27_2_PF_02,Seine,directeur commercial,Mouvement France et République,25/11/1962,Droite républicaine / gaulliste
EL029_L_1962_11_075_28_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_29_2_PF_01,Seine,agent technique,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_03_2_PF_01,Seine,professeur agrégé,Parti socialiste unifié,25/11/1962,Parti socialiste unifié
EL029_L_1962_11_075_03_2_PF_02,Seine,non mentionné,non mentionné,25/11/1962,Non mentionné
EL029_L_1962_11_075_31_2_PF_01,Seine,ouvrier métallurgiste,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_32_2_PF_01,Seine,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,25/11/1962,SFIO
EL029_L_1962_11_075_33_2_PF_01,Seine,cheminot,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_34_2_PF_01,Seine,non mentionné,non mentionné,25/11/1962,Non mentionné
EL029_L_1962_11_075_35_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_36_2_PF_01,Seine,ingénieur,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_04_2_PF_01,Seine,ouvrier Monnaies et Médailles,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_04_2_PF_02,Seine,non mentionné,Centre national des indépendants,25/11/1962,CNIP / Indépendants et paysans
EL029_L_1962_11_075_43_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_44_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_45_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_46_2_PF_01,Seine,employé presse,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_46_2_PF_02,Seine,ingénieur Ecole nationale des Ponts et Chaussées,Centre national des indépendants,25/11/1962,CNIP / Indépendants et paysans
EL029_L_1962_11_075_47_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_48_2_PF_01,Seine,professeur,non mentionné,25/11/1962,Non mentionné
EL029_L_1962_11_075_48_2_PF_02,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_49_2_PF_01,Seine,docteur,non mentionné,25/11/1962,Non mentionné
EL029_L_1962_11_075_49_2_PF_02,Seine,non mentionné,Parti socialiste unifié,25/11/1962,Parti socialiste unifié
EL029_L_1962_11_075_05_2_PF_01,Seine,non mentionné,non mentionné,25/11/1962,Non mentionné
EL029_L_1962_11_075_51_2_PF_01,Seine,instituteur,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_53_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_54_2_PF_01,Seine,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_55_2_PF_01,Seine,ouvrier charpentier,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_06_2_PF_01,Seine,cadre supérieur métallurgie,Centre national des indépendants,25/11/1962,CNIP / Indépendants et paysans
EL029_L_1962_11_075_06_2_PF_02,Seine,comptable EDF,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_07_2_PF_01,Seine,professeur lycée,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_075_09_2_PF_01,Seine,artisan laqueur-décorateur,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_080_01_2_PF_01,Somme,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_080_02_2_PF_01,Somme,cheminot,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_080_02_2_PF_02,Somme,non mentionné,Indépendants paysans d'action sociale,25/11/1962,CNIP / Indépendants et paysans
EL029_L_1962_11_080_03_2_PF_01,Somme,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_080_04_2_PF_01,Somme,non mentionné,Parti socialiste,25/11/1962,Parti socialiste
EL029_L_1962_11_080_04_2_PF_02,Somme,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_080_05_2_PF_01,Somme,traceur bâtiment,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_089_01_2_PF_01,Yonne,non mentionné,Parti républicain radical et radical-socialiste,25/11/1962,Parti radical / radical-socialiste
EL029_L_1962_11_089_01_2_PF_02,Yonne,instituteur,Parti communiste français,25/11/1962,Parti communiste français
EL029_L_1962_11_089_03_2_PF_01,Yonne,non mentionné,Parti communiste français,25/11/1962,Parti communiste français
EL043_L_1967_03_007_01_1_PF_01,Ardèche,instituteur,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_007_01_1_PF_02,Ardèche,non mentionné,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_007_01_1_PF_03,Ardèche,préfet honoraire,indépendants,05/03/1967,Indépendant
EL043_L_1967_03_007_01_1_PF_04,Ardèche,directeur général contrôle oléagineux et corps gras,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_007_01_1_PF_05,Ardèche,agriculteur,Centre démocrate,05/03/1967,Centre démocrate
EL043_L_1967_03_007_01_1_PF_06,Ardèche,commerçant,Alliance républicaine pour les libertés et le progrès,05/03/1967,Libéraux / indépendants
EL043_L_1967_03_007_02_1_PF_01,Ardèche,Ponts et Chaussées,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_007_02_1_PF_02,Ardèche,docteur-vétérinaire,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_007_02_1_PF_03,Ardèche,conseiller technique,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_007_02_1_PF_04,Ardèche,non mentionné,Républicains indépendants d'action sociale,05/03/1967,Républicains indépendants
EL043_L_1967_03_007_03_1_PF_01,Ardèche,médecin,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_007_03_1_PF_02,Ardèche,professeur,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_007_03_1_PF_03,Ardèche,non mentionné,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_007_03_1_PF_04,Ardèche,exploitant agricole,Indépendants et paysans,05/03/1967,CNIP / Indépendants et paysans
EL043_L_1967_03_007_03_1_PF_05,Ardèche,non mentionné,Centre démocrate,05/03/1967,Centre démocrate
EL043_L_1967_03_031_01_1_PF_01,Haute-Garonne,ouvrier chimiste,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_031_01_1_PF_02,Haute-Garonne,professeur enseignement technique,Parti socialiste unifié,05/03/1967,Parti socialiste unifié
EL043_L_1967_03_031_01_1_PF_03,Haute-Garonne,professeur honoraire Université,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_031_01_1_PF_04,Haute-Garonne,libraire,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_031_01_1_PF_05,Haute-Garonne,directeur commercial,indépendant,05/03/1967,Indépendant
EL043_L_1967_03_031_02_1_PF_01,Haute-Garonne,cheminot,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_031_02_1_PF_02,Haute-Garonne,non mentionné,Parti socialiste unifié,05/03/1967,Parti socialiste unifié
EL043_L_1967_03_031_02_1_PF_03,Haute-Garonne,non mentionné,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_031_02_1_PF_04,Haute-Garonne,non mentionné,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_031_02_1_PF_05,Haute-Garonne,administrateur civil,indépendant,05/03/1967,Indépendant
EL043_L_1967_03_031_03_1_PF_01,Haute-Garonne,non mentionné,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_031_03_1_PF_02,Haute-Garonne,instituteur,Parti socialiste unifié,05/03/1967,Parti socialiste unifié
EL043_L_1967_03_031_03_1_PF_03,Haute-Garonne,professeur droit constitutionnel Faculté de Droit,Centre démocrate,05/03/1967,Centre démocrate
EL043_L_1967_03_031_03_1_PF_04,Haute-Garonne,non mentionné,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_031_03_1_PF_05,Haute-Garonne,ingénieur,Centre national pour la Ve République démocratique et unie,05/03/1967,Gaullistes / Ve République
EL043_L_1967_03_031_03_1_PF_06,Haute-Garonne,conseil juridique et fiscal,Rassemblement européen de la liberté,05/03/1967,Européens / paneuropéens
EL043_L_1967_03_031_04_1_PF_01,Haute-Garonne,employé EDF,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_031_04_1_PF_02,Haute-Garonne,non mentionné,Parti socialiste unifié,05/03/1967,Parti socialiste unifié
EL043_L_1967_03_031_04_1_PF_03,Haute-Garonne,non mentionné,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_031_04_1_PF_04,Haute-Garonne,non mentionné,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_031_04_1_PF_05,Haute-Garonne,non mentionné,Centre démocrate,05/03/1967,Centre démocrate
EL043_L_1967_03_031_04_1_PF_06,Haute-Garonne,chef de service,sans parti politique,05/03/1967,Sans parti
EL043_L_1967_03_031_04_1_PF_07,Haute-Garonne,chef de personnel,socialistes indépendants,05/03/1967,Socialiste indépendant / social-démocrate
EL043_L_1967_03_031_05_1_PF_01,Haute-Garonne,agriculteur,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_031_05_1_PF_02,Haute-Garonne,professeur honoraire collège d'enseignement général,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_031_05_1_PF_03,Haute-Garonne,conseiller culturel,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_031_05_1_PF_04,Haute-Garonne,non mentionné,libre,05/03/1967,Sans parti
EL043_L_1967_03_031_05_1_PF_05,Haute-Garonne,non mentionné,Alliance républicaine pour les libertés et le progrès,05/03/1967,Libéraux / indépendants
EL043_L_1967_03_031_06_1_PF_01,Haute-Garonne,professeur collège d'enseignement général,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_031_06_1_PF_02,Haute-Garonne,non mentionné,radical-socialiste,05/03/1967,Parti radical / radical-socialiste
EL043_L_1967_03_031_06_1_PF_03,Haute-Garonne,non mentionné,socialiste,05/03/1967,Parti socialiste
EL043_L_1967_03_031_06_1_PF_04,Haute-Garonne,journaliste parlementaire,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_033_01_1_PF_01,Gironde,ajusteur Aéronautique,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_01_1_PF_02,Gironde,chef des services Caisse d'épargne,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_01_1_PF_03,Gironde,inspecteur société,Union paneuropéenne,05/03/1967,Européens / paneuropéens
EL043_L_1967_03_033_01_1_PF_04,Gironde,médecin biologiste Hôpitaux,indépendant,05/03/1967,Indépendant
EL043_L_1967_03_033_01_1_PF_05,Gironde,commandant,sans parti politique,05/03/1967,Sans parti
EL043_L_1967_03_033_01_1_PF_06,Gironde,artisan,hors des partis,05/03/1967,Sans parti
EL043_L_1967_03_033_01_1_PF_07,Gironde,professeur Faculté de Droit et des Sciences économiques,Centre démocrate,05/03/1967,Centre démocrate
EL043_L_1967_03_033_01_1_PF_08,Gironde,cadre commerce,Alliance républicaine,05/03/1967,Libéraux / indépendants
EL043_L_1967_03_033_10_1_PF_01,Gironde,ouvrier bâtiment,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_10_1_PF_02,Gironde,professeur,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_10_1_PF_03,Gironde,propriétaire viticulteur,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_033_10_1_PF_04,Gironde,exploitant agricole,sans parti politique,05/03/1967,Sans parti
EL043_L_1967_03_033_10_1_PF_05,Gironde,propriétaire viticulteur-sylviculteur,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_033_10_1_PF_06,Gironde,délégué général organisation professionnelle,Centre démocrate,05/03/1967,Centre démocrate
EL043_L_1967_03_033_02_1_PF_01,Gironde,ouvrier bâtiment,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_02_1_PF_02,Gironde,ingénieur,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_02_1_PF_03,Gironde,non mentionné,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_033_02_1_PF_04,Gironde,professeur agrégé Université,Centre démocrate,05/03/1967,Centre démocrate
EL043_L_1967_03_033_03_1_PF_01,Gironde,ouvrier SNCF,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_03_1_PF_02,Gironde,maître-assistant Faculté des Lettres et Sciences humaines,Parti socialiste unifié,05/03/1967,Parti socialiste unifié
EL043_L_1967_03_033_03_1_PF_03,Gironde,professeur collège d'enseignement général cours professionnels lycée technique,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_03_1_PF_04,Gironde,avocat Cour,Union pour la nouvelle République-Union démocratique du travail,05/03/1967,UNR-UDT
EL043_L_1967_03_033_03_1_PF_05,Gironde,général,démocrate,05/03/1967,Centre
EL043_L_1967_03_033_03_1_PF_06,Gironde,technicien Aéronautique,Centre démocrate,05/03/1967,Centre démocrate
EL043_L_1967_03_033_03_1_PF_07,Gironde,artisan imprimeur,indépendant,05/03/1967,Indépendant
EL043_L_1967_03_033_04_1_PF_01,Gironde,tourneur,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_04_1_PF_02,Gironde,non mentionné,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_04_1_PF_03,Gironde,inspecteur départemental assurances,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_033_04_1_PF_04,Gironde,moniteur Faculté de Droit et de Sciences économiques,Centre démocrate social et européen,05/03/1967,Centre démocrate
EL043_L_1967_03_033_04_1_PF_05,Gironde,constructeur poste de soudure à l'arc,hors des partis,05/03/1967,Sans parti
EL043_L_1967_03_033_05_1_PF_01,Gironde,lieutenant-colonel,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_05_1_PF_02,Gironde,non mentionné,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_05_1_PF_03,Gironde,non mentionné,Républicains indépendants,05/03/1967,Républicains indépendants
EL043_L_1967_03_033_05_1_PF_04,Gironde,non mentionné,Rassemblement démocratique,05/03/1967,Divers droite républicaine
EL043_L_1967_03_033_06_1_PF_01,Gironde,cheminot,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_06_1_PF_02,Gironde,employé SNCF,Jeune République,05/03/1967,Divers historiques / protestataires
EL043_L_1967_03_033_06_1_PF_03,Gironde,non mentionné,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_06_1_PF_04,Gironde,rédacteur mairie,radical indépendant,05/03/1967,Parti radical / radical-socialiste
EL043_L_1967_03_033_06_1_PF_05,Gironde,docteur en médecine,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_033_06_1_PF_06,Gironde,médecin,Centre démocrate,05/03/1967,Centre démocrate
EL043_L_1967_03_033_07_1_PF_01,Gironde,ouvrier SNCF,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_07_1_PF_02,Gironde,avocat Cour,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_07_1_PF_03,Gironde,non mentionné,Comité Ve République,05/03/1967,Gaullistes / Ve République
EL043_L_1967_03_033_07_1_PF_04,Gironde,non mentionné,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_033_08_1_PF_01,Gironde,propriétaire exploitant,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_08_1_PF_02,Gironde,administrateur chef de division Assemblée nationale,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_08_1_PF_03,Gironde,direction service Aide sociale arrondissement,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_033_08_1_PF_04,Gironde,propriétaire viticulteur,Centre démocratique des indépendants,05/03/1967,Centre démocrate
EL043_L_1967_03_033_08_1_PF_05,Gironde,propriétaire exploitant,Rassemblement démocratique,05/03/1967,Divers droite républicaine
EL043_L_1967_03_033_09_1_PF_01,Gironde,docteur en médecine,Parti communiste français,05/03/1967,Parti communiste français
EL043_L_1967_03_033_09_1_PF_02,Gironde,professeur histoire géographie,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL043_L_1967_03_033_09_1_PF_03,Gironde,avocat,non mentionné,05/03/1967,Non mentionné
EL043_L_1967_03_033_09_1_PF_04,Gironde,avocat Cour d'Appel,Centre démocrate et républicain,05/03/1967,Centre démocrate
EL043_L_1967_03_033_09_1_PF_05,Gironde,professeur lycée,Centre démocrate,05/03/1967,Centre démocrate
EL044_L_1967_03_055_01_1_PF_01,Meuse,assureur,sans étiquette,05/03/1967,Sans parti
EL044_L_1967_03_055_01_1_PF_02,Meuse,conseiller orientation scolaire et professionnelle,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL044_L_1967_03_055_01_1_PF_03,Meuse,ouvrier menuisier,Parti communiste français,05/03/1967,Parti communiste français
EL044_L_1967_03_055_01_1_PF_04,Meuse,non mentionné,non mentionné,05/03/1967,Non mentionné
EL044_L_1967_03_055_02_1_PF_01,Meuse,industriel,sans étiquette,05/03/1967,Sans parti
EL044_L_1967_03_055_02_1_PF_02,Meuse,directeur école,Parti communiste français,05/03/1967,Parti communiste français
EL044_L_1967_03_055_02_1_PF_03,Meuse,avocat Barreau,Centre démocrate,05/03/1967,Centre démocrate
EL044_L_1967_03_055_02_1_PF_04,Meuse,directeur journal,Républicain indépendant,05/03/1967,Républicains indépendants
EL044_L_1967_03_055_02_1_PF_05,Meuse,directeur école,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL045_L_1967_03_080_01_1_PF_01,Somme,professeur collège d'enseignement général,Parti communiste français,05/03/1967,Parti communiste français
EL045_L_1967_03_080_01_1_PF_02,Somme,journaliste,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL045_L_1967_03_080_01_1_PF_03,Somme,non mentionné,non mentionné,05/03/1967,Non mentionné
EL045_L_1967_03_080_01_1_PF_04,Somme,chef d'entreprise,Centre démocrate,05/03/1967,Centre démocrate
EL045_L_1967_03_080_02_1_PF_01,Somme,non mentionné,Parti communiste français,05/03/1967,Parti communiste français
EL045_L_1967_03_080_02_1_PF_02,Somme,technicien géomètre cadastre,Parti socialiste unifié,05/03/1967,Parti socialiste unifié
EL045_L_1967_03_080_02_1_PF_03,Somme,non mentionné,socialiste indépendant,05/03/1967,Socialiste indépendant / social-démocrate
EL045_L_1967_03_080_02_1_PF_04,Somme,non mentionné,non mentionné,05/03/1967,Non mentionné
EL045_L_1967_03_080_02_1_PF_05,Somme,docteur,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL045_L_1967_03_080_02_1_PF_06,Somme,agriculteur,Centre démocrate,05/03/1967,Centre démocrate
EL045_L_1967_03_080_03_1_PF_01,Somme,non mentionné,Parti communiste français,05/03/1967,Parti communiste français
EL045_L_1967_03_080_03_1_PF_02,Somme,journaliste,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL045_L_1967_03_080_03_1_PF_03,Somme,directeur cabinet Secrétaire d'Etat aux Affaires étrangères,Républicains indépendants,05/03/1967,Républicains indépendants
EL045_L_1967_03_080_04_1_PF_01,Somme,non mentionné,Parti communiste français,05/03/1967,Parti communiste français
EL045_L_1967_03_080_04_1_PF_02,Somme,non mentionné,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL045_L_1967_03_080_04_1_PF_03,Somme,avocat Barreau,Comité d'action pour la Ve République,05/03/1967,Gaullistes / Ve République
EL045_L_1967_03_080_05_1_PF_01,Somme,non mentionné,Parti communiste français,05/03/1967,Parti communiste français
EL045_L_1967_03_080_05_1_PF_02,Somme,professeur lycée,Parti socialiste unifié,05/03/1967,Parti socialiste unifié
EL045_L_1967_03_080_05_1_PF_03,Somme,cultivateur,Fédération de la gauche radicale et socialiste,05/03/1967,FGDS
EL045_L_1967_03_080_05_1_PF_04,Somme,non mentionné,non mentionné,05/03/1967,Non mentionné
EL045_L_1967_03_080_05_1_PF_05,Somme,avocat Barreau,Centre démocrate,05/03/1967,Centre démocrate
EL045_L_1967_03_089_01_1_PF_01,Yonne,non mentionné,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL045_L_1967_03_089_01_1_PF_02,Yonne,auditeur Cour des comptes,Républicains indépendants,05/03/1967,Républicains indépendants
EL045_L_1967_03_089_01_1_PF_03,Yonne,avocat,démocrates,05/03/1967,Centre
EL045_L_1967_03_089_01_1_PF_04,Yonne,industriel,Centre national des indépendants,05/03/1967,CNIP / Indépendants et paysans
EL045_L_1967_03_089_01_1_PF_05,Yonne,instituteur collège d'enseignement secondaire,Parti communiste français,05/03/1967,Parti communiste français
EL045_L_1967_03_089_02_1_PF_01,Yonne,non mentionné,Républicains indépendants,05/03/1967,Républicains indépendants
EL045_L_1967_03_089_02_1_PF_02,Yonne,viticulteur-agriculteur,Parti communiste français,05/03/1967,Parti communiste français
EL045_L_1967_03_089_02_1_PF_03,Yonne,avocat Cour,Convention des institutions républicaines,05/03/1967,Gauche non communiste
EL045_L_1967_03_089_03_1_PF_01,Yonne,minotier,non mentionné,05/03/1967,Non mentionné
EL045_L_1967_03_089_03_1_PF_02,Yonne,non mentionné,Fédération de la gauche démocrate et socialiste,05/03/1967,FGDS
EL045_L_1967_03_089_03_1_PF_03,Yonne,non mentionné,Centre démocrate,05/03/1967,Centre démocrate
